週開始日,スタッフ,業務処理力,顧客対応力,主体性改善力,学習成長,チーム貢献,総合スコア,週間労働時間,残業時間,超過アラート,生産性係数,ハイライト
2026-04-21,A,27,17,15,11,11,81,42:05,10:05,FALSE,0.77,セレクティ7拠点分の支給申請書を段階的に完遂・PGMCompany就業規則3種を並行処理
2026-04-21,B,14,7,5,10,4,40,8:06,0:00,FALSE,1.98,※入社初日参考値。オリエンテーションと給与計算・扶養手続きを初日に両立
2026-04-21,C,24,14,12,7,11,68,7:49,0:00,FALSE,3.48,※1日分・情報量補正済。1日で請求書33件・新規顧問4件等10項目超を処理
2026-04-21,D,26,16,15,11,12,80,32:28,0:28,FALSE,0.99,助成金用就業規則を3日間で新規作成しながら複数顧客の手続きを並行処理
2026-04-21,E,27,16,14,10,11,78,37:25,5:25,FALSE,0.83,4/21に10件超の案件を並行処理・4/24に給与計算を1日で完結
2026-04-28,A,25,17,15,11,12,80,28:17,4:17,FALSE,1.13,3日間で障害者雇用・育休・労災等を多軸並行処理
2026-04-28,B,22,12,10,12,8,64,9:38,0:00,FALSE,2.66,※入社3週目参考値。4種類の給付・保険手続きを担当
2026-04-28,C,28,15,15,10,14,82,12:20,0:00,FALSE,2.66,※2日分・情報量補正済。GW前請求11件発行・SMC対応完結
2026-04-28,D,26,17,16,12,12,83,23:34,0:04,FALSE,1.41,3日稼働で法務・給与・手続きを全完結
2026-04-28,E,26,17,15,11,12,81,30:50,6:50,FALSE,1.05,3日間で助成金・労務書類を高密度並行処理・管理改善行動も発揮
2026-05-05,A,26,16,13,11,11,77,28:40,4:40,FALSE,1.07,振替休日出勤＋21時超まで年度更新・多社対応を完遂
2026-05-05,B,0,0,0,0,0,0,0:00,0:00,FALSE,0.00,※欠勤週・評価対象外
2026-05-05,C,27,14,14,9,11,75,12:20,0:00,FALSE,2.43,※2日分・役割補正済。漏水・複合機など突発対応を自律的に処理
2026-05-05,D,26,17,14,11,12,80,16:00,0:30,FALSE,2.00,2日で多社対応・意見書22通・再計算誠実処理が際立つ週
2026-05-05,E,24,16,16,12,11,79,21:50,5:50,FALSE,1.45,2日間で10社超を並行処理・新制度習得と改善行動が光る週
2026-05-12,A,26,17,16,11,12,82,46:00,14:00,FALSE,0.71,多数案件を並走・訪問対応・官署架電・労務相談を高密度で完遂
2026-05-12,B,20,12,14,12,11,69,6:07,0:00,FALSE,4.51,※入社4-5週目参考値。年度更新・算定基礎・給与計算に着手
2026-05-12,C,27,14,16,11,12,80,5:20,0:00,FALSE,6.00,※1日分・役割補正済。経理・請求・顧客連携を1日で高密度処理
2026-05-12,D,25,16,15,11,12,79,28:00,0:40,FALSE,1.13,多拠点・多案件を定時内で高密度に処理
2026-05-12,E,26,17,17,12,13,85,42:20,10:30,FALSE,0.80,マニュアル作成・後進レクチャーで組織貢献が際立つ週
2026-05-19,A,29,18,16,12,10,85,37:20,7:40,FALSE,0.91,10社超を自律的に並行処理し助成金・就業規則を完遂
2026-05-19,B,24,15,11,11,9,70,12:14,0:00,FALSE,2.29,※入社初期補正済。4社並行・外部MTGあり・助成金等多種別に着手
2026-05-19,C,28,16,16,10,12,82,6:00,0:00,FALSE,5.47,※1日分・役割補正済。入金管理・請求5件等を高密度処理
2026-05-19,D,25,15,15,11,10,76,0:00,0:00,FALSE,0.00,※1日分・欠勤週多・参考値。5/19単日に高密度・自律的対応
2026-05-19,E,29,18,17,12,13,89,44:30,12:30,FALSE,0.80,多領域並行処理と後進指導が際立つ高密度週
